"V1" "V2" "V3" "V4" "V5"
"TOTAL_COSTS" 67.2312896982372 67.3360272508025 41.7622105501346 45.1195682676355 77.4037136213335
"BC_COSTS" 67.2312896982372 56.2757407142206 39.0904710577347 42.3213130211339 74.0526381163235
"SCREEN_COSTS" 0 11.0602865365818 2.67173949239993 2.79825524650157 3.35107550501
"QALYS" 15.7517529082796 15.7340642225676 15.6990870578793 15.7971497033748 15.7925267500458
"LYS" 22.3637439951303 22.332760832068 22.3153980158332 22.4222169320267 22.4418594371861
"LG_SYMPT" 0.0178803896951973 0.0129412050290294 0.00675518840277927 0.00861960743724042 0.0237110758671761
"HG_St1_SYMPT" 0.0110566243187493 0.00307467090728488 0.00547393677596063 0.00417664409223047 0.00874347413966103
"HG_St2_SYMPT" 0.00408325010303659 0.00119648841320612 0.00206286110956904 0.00227884774706872 0.00198171138604847
"HG_St3_SYMPT" 0.00165061056150218 0.000621351730326236 0.000877537310765434 0.00111903797767989 0.000686753507174382
"HG_St4_SYMPT" 0.00459442165884242 0.00213498276078444 0.00437349672999519 0.00349947588830583 0.00606333537732507
"LG_SCRN" 0 0.00557344634109433 0.000115101242757044 0.000353205347802217 0
"HG_St1_SCRN" 0 0.00148840457559193 0 0.000321573463476079 0.000112700245874324
"HG_St2_SCRN" 0 0.00149810339865575 0 0 0.000109873142841634
"HG_St3_SCRN" 0 0.000194462087114085 0 0 0
"HG_St4_SCRN" 0 0.000869043658632022 0.000213728631595255 0.000194462087114085 7.53625319983064e-05
"HG_St1_MORT" 0.00218045866741776 0.00111373200697937 0.000700353319161837 0.000979662108950719 0.00167913415086089
"HG_St2_MORT" 0.00237044096687119 0.00189904762927435 0.000828179006449033 0.00090116874764575 0.00113756468794928
"HG_St3_MORT" 0.00149329903616372 0.00040057637071016 0.000435827485717193 0.000422590787821811 0.000502245690894234
"HG_St4_MORT" 0.00347687580044696 0.00290873004752334 0.00364334419866277 0.00271770122865472 0.00454228155404266
"Die_TURBT" 0 0.00103523727007762 0.000119189381690279 0.000298614699097907 0
"Invite_DS" 0 6.86372887062285 1.80311333565082 1.83083531070647 1.83610463896432
"Respond_DS" 0 5.02163434245724 1.03272839140156 1.01312970725773 1.03742421168312
"Positive_DS" 0 0.862332018145212 0.17054764426396 0.147531467928253 0.23832533621896
"Respond_Cyst" 0 0.862332018145212 0.17054764426396 0.147531467928253 0.23832533621896
"Diagnostic_Cyst" 0 0.161560322063973 0.0239898620445839 0.0197283022991406 0.0437236621572343
"TURBT" 0 0.161560322063973 0.0239898620445839 0.0197283022991406 0.0437236621572343
"FP" 0 0.151936862002885 0.0236610321702316 0.0188590614007482 0.04342572623652
"FN" 0.147274082573536 0.069024349853329 0.110021134480873 0.0930971435186705 0.127282177168454
